plan_id,max_dev_pob_pct,pp_promedio,cut_edges,n_comunas_partidas,split_severity,pop_afectada_pct,score,reock
13187,9.425,,237,,,,-1.1261985761087865,
13188,9.425,,275,,,,-1.234153121563301,
13189,7.953,,272,,,,-1.078430394292048,
13190,4.548,,276,,,,-0.7492940306590863,
13191,8.743,,290,,,,-1.2085667579276074,
13192,9.655,,276,,,,-1.2599940306539792,
13193,7.102,,282,,,,-1.021739485201982,
13194,7.102,,270,,,,-0.9876485761110828,
13195,7.102,,268,,,,-0.981966757929266,
13196,8.554,,266,,,,-1.1214849397459974,
13197,8.554,,265,,,,-1.118644030655089,
13198,8.554,,260,,,,-1.1044394852005477,
13199,8.554,,248,,,,-1.0703485761096485,
13200,8.554,,246,,,,-1.0646667579278315,
13201,8.554,,231,,,,-1.0220531215642077,
13202,8.554,,240,,,,-1.047621303382382,
13203,9.357,,229,,,,-1.0966713033815878,
13204,9.357,,238,,,,-1.1222394851997624,
13205,9.357,,234,,,,-1.1108758488361292,
13206,8.766,,249,,,,-1.0943894852003446,
13207,9.152,,235,,,,-1.0932167579272425,
13208,9.152,,226,,,,-1.067648576109068,
13209,9.152,,224,,,,-1.0619667579272514,
13210,9.152,,227,,,,-1.0704894851999762,
13211,9.386,,259,,,,-1.1847985761088071,
13212,9.386,,260,,,,-1.1876394851997156,
13213,9.386,,276,,,,-1.2330940306542482,
13214,9.484,,276,,,,-1.2428940306541505,
13215,9.484,,261,,,,-1.200280394290526,
13216,9.484,,244,,,,-1.1519849397450852,
13217,9.484,,233,,,,-1.120734939745094,
13218,9.484,,227,,,,-1.1036894851996444,
13219,9.484,,232,,,,-1.1178940306541858,
13220,8.376,,234,,,,-1.0127758488371104,
13221,6.255,,242,,,,-0.8234031215664976,
13222,6.36,,239,,,,-0.8253803942936677,
13223,6.36,,252,,,,-0.8623122124754754,
13224,6.36,,252,,,,-0.8623122124754754,
13225,9.404,,259,,,,-1.1865985761087894,
13226,9.404,,270,,,,-1.2178485761087805,
13227,9.934,,265,,,,-1.256644030653709,
13228,9.941,,266,,,,-1.2601849397446103,
13229,9.941,,259,,,,-1.2402985761082523,
13230,9.941,,251,,,,-1.217571303380986,
13231,9.941,,243,,,,-1.1948440306537198,
13232,7.945,,247,,,,-1.0066076670193491,
13233,7.945,,252,,,,-1.0208122124738903,
13234,8.708,,251,,,,-1.0942713033822191,
13235,8.708,,255,,,,-1.1056349397458525,
13236,8.708,,256,,,,-1.1084758488367603,
13237,8.708,,243,,,,-1.0715440306549529,
13238,8.708,,245,,,,-1.0772258488367694,
13239,8.708,,243,,,,-1.0715440306549529,
13240,8.708,,238,,,,-1.0573394852004114,
13241,8.708,,252,,,,-1.0971122124731274,
13242,9.772,,249,,,,-1.1949894851993386,
13243,9.772,,251,,,,-1.2006713033811551,
13244,8.708,,245,,,,-1.0772258488367694,
13245,8.708,,245,,,,-1.0772258488367694,
13246,9.868,,246,,,,-1.1960667579265178,
13247,9.868,,246,,,,-1.1960667579265178,
13248,9.142,,246,,,,-1.1234667579272437,
13249,9.142,,245,,,,-1.1206258488363354,
13250,9.329,,259,,,,-1.1790985761088646,
13251,9.329,,279,,,,-1.2359167579270305,
13252,9.329,,256,,,,-1.1705758488361395,
13253,9.329,,265,,,,-1.1961440306543143,
13254,9.329,,268,,,,-1.2046667579270391,
13255,9.329,,275,,,,-1.2245531215633971,
13256,7.476,,277,,,,-1.0449349397470666,
13257,7.667,,288,,,,-1.0952849397468667,
13258,7.667,,307,,,,-1.149262212474124,
13259,7.667,,311,,,,-1.1606258488377572,
13260,7.205,,300,,,,-1.0831758488382282,
13261,7.205,,293,,,,-1.0632894852018702,
13262,6.396,,305,,,,-1.0164803942935785,
13263,9.937,,301,,,,-1.3592167579264045,
13264,9.937,,305,,,,-1.3705803942900374,
13265,9.937,,308,33.0,1.0291,0.7497,-1.3791031215627625,
13266,9.762,,304,,,,-1.3502394851993045,
13267,9.762,,304,,,,-1.3502394851993045,
13268,9.762,,311,,,,-1.3701258488356622,
13269,9.762,,315,,,,-1.3814894851992954,
13270,9.762,,321,,,,-1.398534939744745,
13271,9.522,,321,,,,-1.374534939744985,
13272,9.522,,322,,,,-1.3773758488358934,
13273,7.982,,316,,,,-1.2063303942919836,
13274,7.982,,315,,,,-1.2034894852010751,
13275,7.982,,284,,,,-1.1154213033829186,
13276,7.982,,282,,,,-1.109739485201102,
13277,7.982,,287,,,,-1.1239440306556434,
13278,7.982,,289,,,,-1.12962584883746,
13279,9.822,,294,,,,-1.3278303942901613,
13280,9.952,,294,,,,-1.3408303942900313,
13281,9.952,,299,,,,-1.355034939744573,
13282,9.952,,278,,,,-1.2953758488354987,
13283,9.952,,280,,,,-1.3010576670173153,
13284,8.714,,282,,,,-1.18293948520037,
13285,8.803,,278,,,,-1.180475848836648,
13286,8.714,,275,,,,-1.163053121564012,
13287,7.927,,284,,,,-1.1099213033829736,
13288,7.927,,285,,,,-1.112762212473882,
13289,7.927,,280,,,,-1.0985576670193404,
13290,8.845,,282,,,,-1.196039485200239,
13291,8.845,,279,,,,-1.187516757927514,
13292,8.845,,279,,,,-1.187516757927514,
13293,9.099,,283,,,,-1.2242803942908933,
13294,9.099,,292,,,,-1.249848576109068,
13295,9.099,,286,,,,-1.2328031215636182,
13296,9.099,,286,,,,-1.2328031215636182,
13297,9.099,,285,,,,-1.22996221247271,
13298,9.099,,284,,,,-1.2271213033818016,
13299,8.393,,276,,,,-1.1337940306552414,
13300,8.393,,271,,,,-1.1195894852007,
13301,8.139,,272,,,,-1.097030394291862,
13302,9.66,,260,,,,-1.2150394851994415,
13303,8.587,,273,,,,-1.1446713033823224,
13304,8.587,,278,,,,-1.1588758488368638,
13305,8.587,,304,,,,-1.2327394852004792,
13306,8.89,,300,,,,-1.2516758488365431,
13307,8.89,,308,,,,-1.2744031215638094,
13308,8.587,,301,,,,-1.2242167579277543,
13309,8.587,,304,,,,-1.2327394852004792,
13310,8.587,,300,,,,-1.221375848836846,
