CUT,cod_candidato,nombre_candidato,partido,pacto,votos
9202,66022058,ANDREA PARRA SAUTEREL,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,996.0
9202,66022059,PATRICIO POZA BARRERA,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,327.0
9202,66022060,LUIS PENCHULEO MORALES,FRENTE AMPLIO,UNIDAD POR CHILE,527.0
9202,66022061,MANUELA ROYO LETELIER,FRENTE AMPLIO,UNIDAD POR CHILE,365.0
9202,66022062,XIMENA SEPULVEDA VARAS,PARTIDO DEMOCRATA CRISTIANO,UNIDAD POR CHILE,123.0
9202,66022063,MARCELA ROA SUAZO,MOVIMIENTO AMARILLOS POR CHILE,MOVIMIENTO AMARILLOS POR CHILE,247.0
9202,66022064,JAVIERA FRANCISCA VICTORIA IBARRA LARENAS,MOVIMIENTO AMARILLOS POR CHILE,MOVIMIENTO AMARILLOS POR CHILE,225.0
9202,66022065,LLERY YANIRA CARRASCO ESPINOZA,MOVIMIENTO AMARILLOS POR CHILE,MOVIMIENTO AMARILLOS POR CHILE,121.0
9202,66022066,EDITH ELENA PALMA MENDEZ,MOVIMIENTO AMARILLOS POR CHILE,MOVIMIENTO AMARILLOS POR CHILE,61.0
9202,66022067,DANIELA NATALY GONZALEZ FARIÑA,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,647.0
9202,66022068,GUIDO ANTONIO DIAZ VERGARA,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,358.0
9202,66022069,ALEXIS OJEDA ALTAMIRANO,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,342.0
9202,66022070,PATRICIA DEL CARMEN MUÑOZ BELTRAN,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,275.0
9202,66022071,RAMIRO ADRIAN RODRIGUEZ MAUREIRA,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,106.0
9202,66022072,JUAN CARLOS BELTRAN SILVA,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,1749.0
9202,66022073,EDUARDO CRETTON REBOLLEDO,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,2863.0
9202,66022074,VICTOR MANOLI NAZAL,EVOLUCION POLITICA,CHILE GRANDE Y UNIDO,339.0
9202,66022075,JORGE SAFFIRIO ESPINOZA,PARTIDO DEMOCRATAS CHILE,CHILE GRANDE Y UNIDO,886.0
9202,66022076,GLORIA NAVEILLAN ARRIAGADA,PARTIDO NACIONAL LIBERTARIO,CAMBIO POR CHILE,1311.0
9202,66022077,VICTOR BADILLA URRA,PARTIDO NACIONAL LIBERTARIO,CAMBIO POR CHILE,438.0
9202,66022078,ROBERTO QUINTANA BURGOS,PARTIDO SOCIAL CRISTIANO,CAMBIO POR CHILE,310.0
9202,66022079,FELIPE MARTINEZ REYES,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,696.0
9202,66022080,DEBORAH NEGRETE PLAZA,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,392.0
9203,66022051,VALENTINA SAEZ CASANOVA,PARTIDO ECOLOGISTA VERDE,PARTIDO ECOLOGISTA VERDE,91.0
9203,66022052,RAUL HUILCAL BARRIA,PARTIDO ECOLOGISTA VERDE,PARTIDO ECOLOGISTA VERDE,60.0
9203,66022053,WANGLEN MILA HUENUMILLA,PARTIDO ECOLOGISTA VERDE,PARTIDO ECOLOGISTA VERDE,62.0
9203,66022054,EDUARDO CUELLAR FERREIRA,PARTIDO ECOLOGISTA VERDE,PARTIDO ECOLOGISTA VERDE,36.0
9203,66022055,EMILIA COÑUMIL QUIÑIMIL,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",116.0
9203,66022056,LAUTARO GUANCA VALLEJOS,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",23.0
9203,66022057,JUAN PABLO JARAMILLO GONZALEZ,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",44.0
9203,66022058,ANDREA PARRA SAUTEREL,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,244.0
9203,66022059,PATRICIO POZA BARRERA,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,619.0
